Artist;Name;Scrobbles;Rank
"Quantic";"Magnetica";"3";"4390"
"EMEFE";"Good Future";"3";"4391"
"Lone";"Ambivert Tools, Vol. 2";"67";"119"
"Stippenlift";"Chaos In Het Universum";"1";"8086"
"SASSY 009";"Are you leaving";"2";"5687"
"Carl Gari";"Shipster";"2";"5688"
"Irreversible Entanglements";"Irreversible Entanglements";"2";"5689"
"Loke Rahbek";"Buy Corals Online";"2";"5690"
"Delic";"The Oasis";"1";"8087"
"Bennie Maupin";"The Jewel In The Lotus";"16";"841"
"Jamila Woods";"HEAVN";"1";"8088"
"Steve Reich";"Beauty in Simplicity";"1";"8089"
"Nubya Garcia";"Nubya's 5ive";"60";"141"
"Vels Trio";"Yellow Ochre EP";"7";"2147"
"Don Philippe";"Red Flower";"2";"5691"
"Songhoy Blues";"Bamako";"1";"8090"
"Songhoy Blues";"Résistance";"3";"4392"
"Ant Orange";"Right There";"1";"8091"
"Gernot Bronsert";"Beauty In Simplicity";"1";"8092"
"Wim Mertens";"Beauty in Simplicity";"1";"8093"
"Ant Orange";"Ant Orange";"2";"5692"
"Jadu Heart";"Wanderflower";"1";"8094"
"Quantum Collage";"Lucid Dreaming";"8";"1889"
"M.RUX";"In the Hold";"50";"183"
"Kundan Lal";"Periodic Perciotic";"17";"781"
"Tony Allen";"The Source";"11";"1348"
"Art Feynman";"The Shape You're In";"1";"8095"
"Akron/Family";"Akron/Family";"6";"2491"
"Joe Armon-Jones";"Idiom";"149";"23"
"Chelou";"Damned Eye See";"3";"4393"
"Juana Molina";"Halo";"2";"5693"
"Richard Spaven";"The Self (feat. Jordan Rakei)";"1";"8096"
"bastien keb";"22.02.85";"5";"2928"
"Högni";"Two Trains";"5";"2929"
"Joon Moon";"Moonshine Corner";"4";"3551"
"Reginald Omas Mamode IV";"Working...";"1";"8097"
"Pete Josef";"Colour";"2";"5694"
"Shawn Lee's Ping Pong Orchestra";"Voices And Choices";"2";"5695"
"History of Colour";"Calidoso";"38";"268"
"U.S. Girls";"In A Poem Unlimited";"120";"36"
"Murcof";"Avril 14th (Aphex Twin) [Vanessa Wagner Version]";"1";"8098"
"Andy Stott";"Luxury Problems";"1";"8099"
"Hodini";"M$R003";"1";"8100"
"TiRon & Ayomari";"WET: the Wonderful Ego Trip";"9";"1693"
"Christopher Schwarzwälder";"Three Rivers EP";"1";"8101"
"Rival Consoles";"Unfolding";"1";"8102"
"Noya Rao";"Icaros";"5";"2930"
"Cotton Jones";"Paranoid Cocoon";"24";"482"
"Polo & Pan";"Canopée - EP";"2";"5696"
"Shigeto";"The New Monday";"11";"1349"
"Maria Rita Stumpf";"Brasileira Remixes";"4";"3552"
"My Brightest Diamond";"This Is My Hand";"4";"3553"
"Dreems";"In Dreems";"38";"269"
"Josef Leimberg";"Astral Progressions";"7";"2148"
"Nils Frahm";"All Melody";"94";"55"
"Art Feynman";"Blast Off Through The Wicker";"10";"1509"
"Jimmy Whoo";"Motel Music, Pt. 2";"1";"8103"
"DJ Koze";"Illumination";"7";"2149"
"LAAKE";"Introspective";"2";"5697"
"Sly5thAve";"Bitch Don't Kill My Vibe / Get Free";"18";"721"
"Ahmad Jamal";"Marseille";"2";"5698"
"Penya";"Super Liminal";"24";"483"
"Skinny Pelembe";"I'll Be On Your Mind";"10";"1510"
"Palta";"Universel";"2";"5699"
"James Blake";"If The Car Beside You Moves Ahead";"18";"722"
"Jitwam";"selftitled";"8";"1890"
"Lost Midas";"Undefined";"1";"8104"
"Sly5thAve";"California Love";"3";"4394"
"Pedestrian";"hyperpnea";"3";"4395"
"Unknown Mortal Orchestra";"Not in Love We’re Just High";"1";"8105"
"George Fitzgerald";"Outgrown";"2";"5700"
"Snide Rhythms";"Unicorns and Rainbows 2";"1";"8106"
"andrés oddone";"Happiness Is a Side Effect (Remixes)";"9";"1694"
"andrés oddone";"Aura EP";"1";"8107"
"BeGun";"Slum, Pt. 1";"7";"2150"
"Skinny Pelembe";"Mindset Is Fear";"3";"4396"
"Skinny Pelembe";"Seven Year Curse - EP";"12";"1228"
"Skinny Pelembe";"Spit/Swallow";"41";"246"
"Jonwayne";"Rap Album Two";"22";"540"
"Emma-Jean Thackray's WALRUS";"WALRUS EP";"2";"5701"
"Sly5thAve";"The Invisible Man: An Orchestral Tribute To Dr. Dre";"19";"668"
"Casino Versus Japan";"DJ-Kicks (Lone) [Mixed Tracks]";"1";"8108"
"Jono Ma";"The Dreemas";"2";"5702"
"Colleen";"Captain of None";"7";"2151"
"Buttering Trio";"Threesome";"71";"105"
