Name;Tracks;Scrobbles;Rank
"69";"2";"4";"2880"
"420";"1";"1";"5539"
"1900";"9";"9";"1606"
"3421";"1";"9";"1607"
"Quantic";"77";"606";"1"
"EMEFE";"1";"3";"3394"
"Lone";"6";"76";"166"
"Stippenlift";"1";"1";"5540"
"SASSY 009";"1";"2";"4148"
"Carl Gari";"1";"2";"4149"
"Irreversible Entanglements";"4";"5";"2505"
"Loke Rahbek";"1";"2";"4150"
"Delic";"1";"1";"5541"
"Bennie Maupin";"1";"16";"925"
"Jamila Woods";"1";"1";"5542"
"Steve Reich";"5";"12";"1230"
"Nubya Garcia";"34";"182";"39"
"Vels Trio";"7";"10";"1472"
"Don Philippe";"1";"2";"4151"
"Songhoy Blues";"6";"15";"979"
"Ant Orange";"3";"4";"2881"
"Gernot Bronsert";"1";"3";"3395"
"Wim Mertens";"1";"1";"5543"
"Jadu Heart";"2";"2";"4152"
"Quantum Collage";"4";"8";"1776"
"M.RUX";"26";"98";"117"
"Kundan Lal";"8";"17";"873"
"Tony Allen";"21";"55";"258"
"Art Feynman";"21";"40";"351"
"Akron/Family";"2";"6";"2224"
"Joe Armon-Jones";"55";"302";"14"
"Chelou";"34";"135";"69"
"Juana Molina";"1";"2";"4153"
"Richard Spaven";"6";"19";"763"
"bastien keb";"9";"35";"397"
"Högni";"3";"11";"1341"
"Joon Moon";"1";"4";"2882"
"Reginald Omas Mamode IV";"7";"12";"1231"
"Pete Josef";"5";"6";"2225"
"Shawn Lee's Ping Pong Orchestra";"2";"4";"2883"
"History of Colour";"13";"67";"200"
"U.S. Girls";"30";"144";"61"
"Murcof";"2";"6";"2226"
"Andy Stott";"4";"5";"2506"
"Hodini";"1";"1";"5544"
"TiRon & Ayomari";"5";"9";"1608"
"Christopher Schwarzwälder";"9";"28";"498"
"Rival Consoles";"22";"87";"143"
"Noya Rao";"5";"5";"2507"
"Cotton Jones";"10";"26";"535"
"Polo & Pan";"2";"3";"3396"
"Shigeto";"11";"26";"536"
"Maria Rita Stumpf";"2";"5";"2508"
"My Brightest Diamond";"4";"4";"2884"
"Dreems";"39";"170";"46"
"Josef Leimberg";"5";"7";"1974"
"Nils Frahm";"73";"258";"19"
"Jimmy Whoo";"5";"11";"1342"
"DJ Koze";"51";"134";"71"
"LAAKE";"7";"10";"1473"
"Sly5thAve";"23";"57";"247"
"Ahmad Jamal";"1";"2";"4154"
"Penya";"13";"51";"278"
"Skinny Pelembe";"24";"117";"86"
"Palta";"2";"2";"4155"
"James Blake";"42";"156";"57"
"Jitwam";"42";"130";"75"
"Lost Midas";"2";"3";"3397"
"Pedestrian";"9";"13";"1131"
"Unknown Mortal Orchestra";"11";"28";"499"
"George Fitzgerald";"16";"55";"259"
"Snide Rhythms";"1";"1";"5545"
"andrés oddone";"2";"10";"1474"
"BeGun";"8";"12";"1232"
"Jonwayne";"29";"77";"164"
"Emma-Jean Thackray's WALRUS";"3";"4";"2885"
"Casino Versus Japan";"2";"2";"4156"
"Jono Ma";"1";"2";"4157"
"Colleen";"11";"18";"813"
"Buttering Trio";"14";"76";"167"
"Grandbrothers";"3";"10";"1475"
"Jaja";"12";"42";"330"
"Tim Engelhardt";"3";"3";"3398"
"Shelter";"1";"1";"5546"
"Lords of the Underground";"1";"1";"5547"
"Mr Day";"1";"4";"2886"
"Ambala";"2";"3";"3399"
"Obo Addy";"1";"2";"4158"
"Braxton Cook";"33";"108";"100"
"Hidden Orchestra";"20";"29";"477"
"Peter Broderick";"7";"13";"1132"
"Idris Muhammad";"8";"19";"764"
"Kokoroko";"39";"339";"9"
"Dimlite";"2";"2";"4159"
"KOKOKO!";"16";"30";"462"
"Deerhoof";"1";"1";"5548"
"Kara-Lis Coverdale";"3";"11";"1343"
"GoGo Penguin";"23";"59";"232"
"Lapti";"1";"1";"5549"
"The Survivals";"1";"1";"5550"
"Henry Wu";"7";"16";"926"
"El Búho";"55";"95";"122"
"Project Pablo";"15";"22";"656"
"Chaos in the CBD";"55";"358";"7"
"Suzanne Kraft";"7";"12";"1233"
"Portico Quartet";"23";"39";"361"
"PREQUEL";"6";"10";"1476"
"Gizmo Varillas";"7";"10";"1477"
"Leifur James";"36";"145";"60"
"Coss";"6";"8";"1777"
"The Lot Radio";"1";"1";"5551"
"Dengue Dengue Dengue";"12";"19";"765"
"Cero39";"4";"6";"2227"
"Toro y Moi";"19";"19";"766"
"Kelly Lee Owens";"30";"122";"77"
"Mildlife";"24";"89";"141"
"Dengue Dengue Dengue!";"3";"3";"3400"
"Jon Hopkins";"13";"37";"379"
"Mano Le Tough";"8";"16";"927"
"Sophia Kennedy";"17";"62";"218"
"Soulphiction";"5";"22";"657"
"Erik Truffaz";"1";"1";"5552"
"Sea Moya";"20";"98";"118"
"Matanza";"16";"47";"301"
"Acid Pauli";"31";"53";"266"
"viva sherry";"3";"3";"3401"
"Rejjie Snow";"34";"201";"33"
