Name;Tracks;Scrobbles;Rank
"69";"2";"4";"2860"
"420";"1";"1";"5527"
"1900";"9";"9";"1597"
"3421";"1";"9";"1598"
"Quantic";"77";"606";"1"
"EMEFE";"1";"3";"3374"
"Lone";"6";"75";"169"
"Stippenlift";"1";"1";"5528"
"SASSY 009";"1";"2";"4135"
"Carl Gari";"1";"2";"4136"
"Irreversible Entanglements";"4";"5";"2484"
"Loke Rahbek";"1";"2";"4137"
"Delic";"1";"1";"5529"
"Bennie Maupin";"1";"16";"920"
"Jamila Woods";"1";"1";"5530"
"Steve Reich";"5";"12";"1223"
"Nubya Garcia";"34";"181";"39"
"Vels Trio";"6";"9";"1599"
"Don Philippe";"1";"2";"4138"
"Songhoy Blues";"6";"15";"972"
"Ant Orange";"3";"4";"2861"
"Gernot Bronsert";"1";"3";"3375"
"Wim Mertens";"1";"1";"5531"
"Jadu Heart";"2";"2";"4139"
"Quantum Collage";"4";"8";"1762"
"M.RUX";"26";"98";"115"
"Kundan Lal";"8";"17";"865"
"Tony Allen";"21";"55";"255"
"Art Feynman";"21";"40";"349"
"Akron/Family";"2";"6";"2208"
"Joe Armon-Jones";"55";"302";"14"
"Chelou";"34";"135";"69"
"Juana Molina";"1";"2";"4140"
"Richard Spaven";"6";"19";"756"
"bastien keb";"9";"35";"393"
"Högni";"3";"11";"1335"
"Joon Moon";"1";"4";"2862"
"Reginald Omas Mamode IV";"7";"12";"1224"
"Pete Josef";"5";"6";"2209"
"Shawn Lee's Ping Pong Orchestra";"2";"4";"2863"
"History of Colour";"13";"67";"198"
"U.S. Girls";"29";"142";"62"
"Murcof";"2";"6";"2210"
"Andy Stott";"4";"5";"2485"
"Hodini";"1";"1";"5532"
"TiRon & Ayomari";"5";"9";"1600"
"Christopher Schwarzwälder";"9";"28";"494"
"Rival Consoles";"21";"86";"144"
"Noya Rao";"5";"5";"2486"
"Cotton Jones";"10";"26";"529"
"Polo & Pan";"2";"3";"3376"
"Shigeto";"11";"26";"530"
"Maria Rita Stumpf";"2";"5";"2487"
"My Brightest Diamond";"4";"4";"2864"
"Dreems";"39";"170";"45"
"Josef Leimberg";"5";"7";"1958"
"Nils Frahm";"73";"258";"19"
"Jimmy Whoo";"5";"11";"1336"
"DJ Koze";"51";"134";"70"
"LAAKE";"7";"10";"1466"
"Sly5thAve";"23";"57";"242"
"Ahmad Jamal";"1";"2";"4141"
"Penya";"13";"51";"272"
"Skinny Pelembe";"24";"117";"85"
"Palta";"2";"2";"4142"
"James Blake";"42";"156";"57"
"Jitwam";"40";"121";"78"
"Lost Midas";"2";"3";"3377"
"Pedestrian";"9";"13";"1119"
"Unknown Mortal Orchestra";"11";"28";"495"
"George Fitzgerald";"16";"55";"256"
"Snide Rhythms";"1";"1";"5533"
"andrés oddone";"2";"10";"1467"
"BeGun";"8";"12";"1225"
"Jonwayne";"29";"77";"162"
"Emma-Jean Thackray's WALRUS";"3";"4";"2865"
"Casino Versus Japan";"2";"2";"4143"
"Jono Ma";"1";"2";"4144"
"Colleen";"11";"18";"807"
"Buttering Trio";"14";"76";"165"
"Grandbrothers";"3";"10";"1468"
"Jaja";"12";"42";"327"
"Tim Engelhardt";"3";"3";"3378"
"Shelter";"1";"1";"5534"
"Lords of the Underground";"1";"1";"5535"
"Mr Day";"1";"4";"2866"
"Ambala";"2";"3";"3379"
"Obo Addy";"1";"2";"4145"
"Braxton Cook";"33";"108";"99"
"Hidden Orchestra";"20";"29";"473"
"Peter Broderick";"7";"13";"1120"
"Idris Muhammad";"8";"19";"757"
"Kokoroko";"39";"339";"9"
"Dimlite";"2";"2";"4146"
"KOKOKO!";"16";"30";"458"
"Deerhoof";"1";"1";"5536"
"Kara-Lis Coverdale";"3";"11";"1337"
"GoGo Penguin";"23";"58";"233"
"Lapti";"1";"1";"5537"
"The Survivals";"1";"1";"5538"
"Henry Wu";"7";"16";"921"
"El Búho";"55";"95";"121"
"Project Pablo";"15";"22";"648"
"Chaos in the CBD";"55";"358";"7"
"Suzanne Kraft";"7";"12";"1226"
"Portico Quartet";"23";"39";"358"
"PREQUEL";"6";"10";"1469"
"Gizmo Varillas";"7";"10";"1470"
"Leifur James";"36";"145";"60"
"Coss";"6";"8";"1763"
"The Lot Radio";"1";"1";"5539"
"Dengue Dengue Dengue";"12";"18";"808"
"Cero39";"4";"6";"2211"
"Toro y Moi";"19";"19";"758"
"Kelly Lee Owens";"30";"122";"76"
"Mildlife";"24";"89";"135"
"Dengue Dengue Dengue!";"3";"3";"3380"
"Jon Hopkins";"13";"37";"376"
"Mano Le Tough";"8";"16";"922"
"Sophia Kennedy";"16";"50";"280"
"Soulphiction";"5";"22";"649"
"Erik Truffaz";"1";"1";"5540"
"Sea Moya";"20";"98";"116"
"Matanza";"16";"47";"299"
"Acid Pauli";"31";"52";"265"
"viva sherry";"3";"3";"3381"
"Rejjie Snow";"34";"201";"31"
"Shafiq Husayn";"4";"6";"2212"
"Oumou Sangaré";"16";"22";"650"
"NATUREBOY FLAKO";"6";"9";"1601"
"Moses Boyd";"17";"89";"136"
"Indian Wells";"2";"3";"3382"
"Andy Cato";"2";"5";"2488"
"Flamingods";"12";"19";"759"
"A/T/O/S";"1";"1";"5541"
"WhoMadeWho";"3";"5";"2489"
"Georgia Anne Muldrow";"13";"29";"474"
"Wilma Archer";"10";"13";"1121"
"Move D";"43";"106";"104"
"David Lee Jr.";"1";"1";"5542"
"Olivier St.Louis";"8";"18";"809"
"Milo";"27";"35";"394"
"Frankie Reyes";"5";"9";"1602"
"Maribou State";"40";"256";"20"
"Rokia Traoré";"1";"3";"3383"
"Bajka";"2";"2";"4147"
"Tata Dindin";"1";"3";"3384"
"Jimi Tenor";"12";"17";"866"
"Holy Forest";"1";"1";"5543"
"ElPeche";"1";"1";"5544"
"Iorie";"9";"13";"1122"
"Alphonse Mouzon";"11";"12";"1227"
"Rahsaan Roland Kirk";"14";"15";"973"
"Frank Zappa";"11";"12";"1228"
"Axel Boman";"73";"277";"16"
"Awkwafina";"1";"6";"2213"
"Betty Davis";"1";"2";"4148"
"Michael Kiwanuka";"20";"67";"199"
"Da Cruz";"1";"2";"4149"
"Hello Skinny";"18";"62";"215"
"Sudan Archives";"34";"142";"63"
"Rampa";"8";"15";"974"
"MGMT";"1";"1";"5545"
"Quiet Dawn";"6";"7";"1959"
"⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ";"19";"87";"140"
"Tunnelvisions";"8";"8";"1764"
"HAAi";"23";"57";"243"
"Sälen";"1";"1";"5546"
"Awate";"6";"6";"2214"
"Kamasi Washington";"25";"33";"418"
"Ben Westbeech";"11";"13";"1123"
"Yellow Days";"23";"41";"337"
"Al-chem";"4";"10";"1471"
"Darwish";"12";"20";"722"
"Babatunde Olatunji";"1";"1";"5547"
"Her";"8";"21";"682"
"Izem";"3";"3";"3385"
"Harts";"1";"4";"2867"
"Kilo Kish";"1";"1";"5548"
"Msafiri Zawose";"1";"1";"5549"
"Colin Stetson";"1";"2";"4150"
"Kalaha";"1";"1";"5550"
"Alex Izenberg";"27";"38";"368"
"Neue Grafik";"8";"19";"760"
"Lokal Affair";"1";"1";"5551"
"Thornato";"7";"19";"761"
"Cumbia Cosmonauts";"1";"2";"4151"
"Mabuta";"8";"8";"1765"
"Ariwo";"10";"13";"1124"
"TSHEGUE";"1";"1";"5552"
"Nicole Willis";"17";"24";"581"
"Jono McCleery";"3";"4";"2868"
"El Michels Affair";"13";"28";"496"
"Everything Is Recorded";"2";"4";"2869"
"Makadem";"3";"6";"2215"
"Lagartijeando";"8";"8";"1766"
"Melanie De Biasio";"2";"15";"975"
"Joomanji";"2";"4";"2870"
"Washed Out";"29";"108";"100"
"Nadah El Shazly";"1";"3";"3386"
"Daymé Arocena";"2";"4";"2871"
"Voilaaa";"5";"10";"1472"
"Sarah Elizabeth Charles";"2";"2";"4152"
"The Orchestra Soledad";"3";"3";"3387"
"Nilüfer Yanya";"3";"4";"2872"
"OKZHARP";"1";"1";"5553"
"E Ruscha V";"7";"193";"34"
