Name;Tracks;Scrobbles;Rank;Region
69;2;4;2911;
420;1;1;5589;
1900;9;9;1629;
3421;1;10;1494;
Quantic;77;614;1;🇨🇴 CO
EMEFE;1;3;3434;
Lone;6;77;166;
Stippenlift;1;1;5590;
SASSY 009;1;2;4183;
Carl Gari;1;2;4184;
Irreversible Entanglements;7;10;1495;
Loke Rahbek;1;2;4185;
Delic;1;1;5591;
Bennie Maupin;1;16;945;
Jamila Woods;1;1;5592;
Steve Reich;5;12;1251;
Nubya Garcia;34;182;41;🇬🇧 GB
Vels Trio;7;11;1360;
Don Philippe;1;2;4186;
Songhoy Blues;6;15;1001;
Ant Orange;3;4;2912;
Gernot Bronsert;1;3;3435;
Wim Mertens;1;1;5593;
Jadu Heart;2;2;4187;
Quantum Collage;4;8;1797;
M.RUX;26;98;121;
Kundan Lal;8;17;889;
Tony Allen;21;55;264;
Art Feynman;21;40;359;
Akron/Family;2;6;2251;
Joe Armon-Jones;65;355;9;
Chelou;34;135;72;🇬🇧 GB
Juana Molina;1;2;4188;
Richard Spaven;6;19;780;
bastien keb;9;35;405;
Högni;3;11;1361;
Joon Moon;1;4;2913;
Reginald Omas Mamode IV;7;12;1252;
Pete Josef;5;6;2252;
Shawn Lee's Ping Pong Orchestra;2;4;2914;
History of Colour;13;67;205;
U.S. Girls;30;144;62;🇨🇦 CA
Murcof;2;6;2253;
Andy Stott;4;5;2537;
Hodini;1;1;5594;
TiRon & Ayomari;5;9;1630;
Christopher Schwarzwälder;9;28;511;
Rival Consoles;22;87;146;🇬🇧 GB
Noya Rao;5;5;2538;
Cotton Jones;10;26;551;
Polo & Pan;2;3;3436;
Shigeto;11;26;552;
Maria Rita Stumpf;2;5;2539;
My Brightest Diamond;4;4;2915;
Dreems;39;170;47;
Josef Leimberg;5;7;1999;
Nils Frahm;73;258;19;🇩🇪 DE
Jimmy Whoo;5;11;1362;
DJ Koze;51;134;74;🇩🇪 DE
LAAKE;7;10;1496;
Sly5thAve;23;57;252;
Ahmad Jamal;1;2;4189;
Penya;13;51;286;
Skinny Pelembe;24;117;89;🇬🇧 GB
Palta;2;2;4190;
James Blake;42;156;59;🇬🇧 GB
Jitwam;42;131;76;🇺🇸 US
Lost Midas;2;3;3437;
Pedestrian;9;13;1156;
Unknown Mortal Orchestra;11;28;512;
George Fitzgerald;16;55;265;
Snide Rhythms;1;1;5595;
andrés oddone;2;10;1497;
BeGun;8;12;1253;
Jonwayne;29;77;167;
Emma-Jean Thackray's WALRUS;3;4;2916;
Casino Versus Japan;2;2;4191;
Jono Ma;1;2;4192;
Colleen;11;18;831;
Buttering Trio;14;76;169;
Grandbrothers;3;10;1498;
Jaja;12;42;339;
Tim Engelhardt;3;3;3438;
Shelter;1;1;5596;
Lords of the Underground;1;1;5597;
Mr Day;1;4;2917;
Ambala;2;3;3439;
Obo Addy;1;2;4193;
Braxton Cook;33;108;106;🇺🇸 US
Hidden Orchestra;20;29;488;
Peter Broderick;7;13;1157;
Idris Muhammad;8;19;781;
Kokoroko;40;346;10;
Dimlite;2;2;4194;
KOKOKO!;16;30;472;
Deerhoof;1;1;5598;
Kara-Lis Coverdale;3;11;1363;
GoGo Penguin;23;59;237;
Lapti;1;1;5599;
The Survivals;1;1;5600;
Henry Wu;7;16;946;
El Búho;55;95;127;🇬🇧 GB
Project Pablo;15;22;674;
Chaos in the CBD;55;358;8;🇬🇧 GB
Suzanne Kraft;7;12;1254;
Portico Quartet;23;39;368;
PREQUEL;6;10;1499;
Gizmo Varillas;7;10;1500;
Leifur James;36;145;61;🇬🇧 GB
Coss;6;8;1798;
The Lot Radio;1;1;5601;
Dengue Dengue Dengue;12;19;782;
Cero39;12;33;430;
Toro y Moi;19;19;783;
Kelly Lee Owens;30;122;82;🇬🇧 GB
Mildlife;24;90;141;🇦🇺 AU
Dengue Dengue Dengue!;3;3;3440;
Jon Hopkins;20;47;307;
Mano Le Tough;9;17;890;
Sophia Kennedy;17;62;223;
Soulphiction;5;22;675;
Erik Truffaz;1;1;5602;
Sea Moya;20;98;122;🇩🇪 DE
Matanza;16;47;308;
Acid Pauli;31;53;272;
viva sherry;3;3;3441;
Rejjie Snow;34;201;34;🇮🇪 IE
Shafiq Husayn;4;6;2254;
Oumou Sangaré;16;22;676;
NATUREBOY FLAKO;6;9;1631;
Moses Boyd;17;89;145;🇬🇧 GB
Indian Wells;2;3;3442;
Andy Cato;2;5;2540;
Flamingods;12;19;784;
A/T/O/S;1;1;5603;
WhoMadeWho;3;5;2541;
Georgia Anne Muldrow;13;29;489;
Wilma Archer;10;13;1158;
Move D;43;106;110;🇩🇪 DE
David Lee Jr.;1;1;5604;
Olivier St.Louis;8;18;832;
Milo;27;35;406;
Frankie Reyes;5;9;1632;
Maribou State;40;256;20;🇬🇧 GB
Rokia Traoré;1;3;3443;
Bajka;2;2;4195;
Tata Dindin;1;3;3444;
Jimi Tenor;12;17;891;
Holy Forest;1;1;5605;
ElPeche;1;1;5606;
Iorie;9;13;1159;
Alphonse Mouzon;11;12;1255;
Rahsaan Roland Kirk;14;15;1002;
Frank Zappa;11;12;1256;
Axel Boman;76;359;7;🇸🇪 SE
Awkwafina;1;6;2255;
Betty Davis;1;2;4196;
Michael Kiwanuka;20;67;206;
