Artist;Album;AlbumId;Track;Date#fadgad
Quantic;Magnetica;38c002ea-2385-4294-890c-56a0276e4df6;Painting Silhouettes;1519409337000
EMEFE;Good Future;a9a64949-a0ef-4565-a21f-de68cf687b0e;Good Future;1519409539000
Lone;Ambivert Tools, Vol. 2;1c2879e6-6e42-477c-b5f5-cc6e82c10cec;Under Cherry Blossoms - Mind's Eye Reprise;1519422043000
Stippenlift;Chaos In Het Universum;f60bc07a-fba9-4966-8ea1-95296d4bef18;Faber's Theme (Verdwaald In De Wereld);1519422627000
SASSY 009;Are you leaving;;Are you leaving;1519422775000
Carl Gari;Shipster;94de7df0-dbc1-445e-ad64-beff54d86d06;Treasure Island Sunset;1519423163000
Irreversible Entanglements;Irreversible Entanglements;cdfc154b-eb1e-4730-a074-50c1f1fc65ea;Fireworks;1519423539000
Loke Rahbek;Buy Corals Online;4e824546-94d8-447f-9942-3926a6ad9cd4;Somersault;1519424102000
Delic;The Oasis;;The Oasis;1519424259000
Bennie Maupin;The Jewel In The Lotus;124bf1d6-6702-455f-9d58-2c93d0da95eb;Ensenada;1519424484000
Jamila Woods;HEAVN;32a1055a-c976-4583-bdb9-ddcffe962877;HEAVN;1519424920000
Steve Reich;Beauty in Simplicity;;Electric Counterpoint: I. —;1519425217000
Nubya Garcia;Nubya's 5ive;3ed914b0-9552-4258-9823-196ebbebfbf6;Hold - Alternate Take;1519425629000
Vels Trio;Yellow Ochre EP;9290a9cd-6873-416d-b150-920b66409dcf;40 Point;1519425959000
Don Philippe;Red Flower;;Weedflorr;1519426175000
Songhoy Blues;Bamako;;Bamako;1519471597000
Songhoy Blues;Résistance;1b9c30ff-f9a3-4d8d-8338-7a9a15172898;Voter;1519471817000
Songhoy Blues;Résistance;1b9c30ff-f9a3-4d8d-8338-7a9a15172898;Sahara;1519472081000
Songhoy Blues;Résistance;1b9c30ff-f9a3-4d8d-8338-7a9a15172898;Yersi Yadda;1519472264000
Ant Orange;Right There;;Right There;1519472566000
Vels Trio;Yellow Ochre EP;9290a9cd-6873-416d-b150-920b66409dcf;Yellow Ochre (Part. 1);1519473022000
Vels Trio;Yellow Ochre EP;9290a9cd-6873-416d-b150-920b66409dcf;40 Point;1519473210000
Vels Trio;Yellow Ochre EP;9290a9cd-6873-416d-b150-920b66409dcf;Tenderness;1519473430000
Vels Trio;Yellow Ochre EP;9290a9cd-6873-416d-b150-920b66409dcf;Godzilla;1519473733000
Gernot Bronsert;Beauty In Simplicity;;A New Error;1519474164000
Wim Mertens;Beauty in Simplicity;;Struggle For Pleasure;1519474575000
Ant Orange;Ant Orange;;Yesterday;1519475039000
Jadu Heart;Wanderflower;54c1f8d2-da3f-406d-87f5-9630a21c181e;Jewl;1519476731000
Quantum Collage;Lucid Dreaming;;Lucid Dreaming;1519477112000
Quantum Collage;Lucid Dreaming;;Afrika im Weltraum;1519477577000
Quantum Collage;Lucid Dreaming;;Her Beauty;1519478004000
M.RUX;In the Hold;b8b2be72-cc9e-45fe-9cef-e4904a25acd0;Tangled Eye;1519481880000
M.RUX;In the Hold;b8b2be72-cc9e-45fe-9cef-e4904a25acd0;What's the Matter Now;1519482256000
M.RUX;In the Hold;b8b2be72-cc9e-45fe-9cef-e4904a25acd0;Oh Boy;1519482496000
M.RUX;In the Hold;b8b2be72-cc9e-45fe-9cef-e4904a25acd0;Over The Hill;1519482758000
Kundan Lal;Periodic Perciotic;4820293a-57f7-43d3-90d2-252d0644692b;Dunya;1519483047000
Kundan Lal;Periodic Perciotic;4820293a-57f7-43d3-90d2-252d0644692b;Driver;1519496190000
Kundan Lal;Periodic Perciotic;4820293a-57f7-43d3-90d2-252d0644692b;Hmmrs;1519496408000
Kundan Lal;Periodic Perciotic;4820293a-57f7-43d3-90d2-252d0644692b;Zen;1519496700000
Kundan Lal;Periodic Perciotic;4820293a-57f7-43d3-90d2-252d0644692b;Dilbar;1519496917000
Tony Allen;The Source;19a4f218-c637-433e-957f-aa659cc17399;Tony's Blues;1519509838000
Art Feynman;The Shape You're In;;The Shape You're In;1519510139000
Akron/Family;Akron/Family;09088f07-0a67-4dcc-9aaf-63219fa8bac4;Before and Again;1519555860000
Joe Armon-Jones;Idiom;840ac78b-c918-4292-8380-06389a64a28a;SE Discotheque;1519556098000
Joe Armon-Jones;Idiom;840ac78b-c918-4292-8380-06389a64a28a;Idiom;1519556378000
Joe Armon-Jones;Idiom;840ac78b-c918-4292-8380-06389a64a28a;Mind's Eye;1519556653000
Joe Armon-Jones;Idiom;840ac78b-c918-4292-8380-06389a64a28a;Tanner's Tango;1519556887000
Joe Armon-Jones;Idiom;840ac78b-c918-4292-8380-06389a64a28a;Easy Now;1519557173000
Joe Armon-Jones;Idiom;840ac78b-c918-4292-8380-06389a64a28a;Midnite Oil - Sparkzzz;1519557346000
