Artist;Name;Scrobbles;Rank
Quantic;Painting Silhouettes;3;5661
EMEFE;Good Future;3;5662
Lone;Under Cherry Blossoms - Mind's Eye Reprise;68;17
Stippenlift;Faber's Theme (Verdwaald In De Wereld);1;13141
SASSY 009;Are you leaving;2;8127
Carl Gari;Treasure Island Sunset;2;8128
Irreversible Entanglements;Fireworks;1;13142
Loke Rahbek;Somersault;2;8129
Delic;The Oasis;1;13143
Bennie Maupin;Ensenada;16;443
Jamila Woods;HEAVN;1;13144
Steve Reich;Electric Counterpoint: I. —;1;13145
Nubya Garcia;Hold - Alternate Take;7;1973
Vels Trio;40 Point;4;4152
Don Philippe;Weedflorr;2;8130
Songhoy Blues;Bamako;1;13146
Songhoy Blues;Voter;1;13147
Songhoy Blues;Sahara;1;13148
Songhoy Blues;Yersi Yadda;1;13149
Ant Orange;Right There;1;13150
Vels Trio;Yellow Ochre (Part. 1);1;13151
Vels Trio;Tenderness;1;13152
Vels Trio;Godzilla;1;13153
Gernot Bronsert;A New Error;3;5663
Wim Mertens;Struggle For Pleasure;1;13154
Ant Orange;Yesterday;2;8131
Jadu Heart;Jewl;1;13155
Quantum Collage;Lucid Dreaming;3;5664
Quantum Collage;Afrika im Weltraum;2;8132
Quantum Collage;Her Beauty;2;8133
M.RUX;Tangled Eye;8;1614
M.RUX;What's the Matter Now;7;1974
M.RUX;Oh Boy;17;376
M.RUX;Over The Hill;6;2491
Kundan Lal;Dunya;2;8134
Kundan Lal;Driver;6;2492
Kundan Lal;Hmmrs;2;8135
Kundan Lal;Zen;2;8136
Kundan Lal;Dilbar;2;8137
Tony Allen;Tony's Blues;5;3187
Art Feynman;The Shape You're In;1;13156
Akron/Family;Before and Again;1;13157
Joe Armon-Jones;SE Discotheque;27;103
Joe Armon-Jones;Idiom;4;4153
Joe Armon-Jones;Mind's Eye;25;123
Joe Armon-Jones;Tanner's Tango;3;5665
Joe Armon-Jones;Easy Now;24;141
Joe Armon-Jones;Midnite Oil - Sparkzzz;5;3188
Chelou;Damned Eye See;3;5666
Juana Molina;In The Lassa;2;8138
Richard Spaven;The Self;1;13158
bastien keb;Pick Up;4;4154
Högni;Moon Pitcher;4;4155
Joon Moon;Chess;4;4156
Reginald Omas Mamode IV;Working...;1;13159
Pete Josef;Colour;2;8139
Shawn Lee's Ping Pong Orchestra;Kiss the Sky;2;8140
History of Colour;Cinder;10;1132
History of Colour;Rumba Juankita (History of Colour interpretation);12;815
History of Colour;Fiebre;6;2493
History of Colour;Jineteada;10;1133
U.S. Girls;Velvet 4 Sale;19;274
U.S. Girls;Rage Of Plastics;17;377
U.S. Girls;M.A.H.;16;444
U.S. Girls;Rosebud;13;715
U.S. Girls;Incidental Boogie;17;378
U.S. Girls;L-Over;10;1134
U.S. Girls;Pearly Gates;10;1135
Murcof;Avril 14th (Aphex Twin) - Vanessa Wagner Version;1;13160
Andy Stott;Luxury Problems;1;13161
Hodini;Chronic Gangster Boogie;1;13162
TiRon & Ayomari;Everybody's Doing It;2;8141
TiRon & Ayomari;W.E.T (Wonderful Ego Trip);2;8142
TiRon & Ayomari;Wzup!;3;5667
TiRon & Ayomari;It's a Trip;1;13163
TiRon & Ayomari;Chivalry Is Dead;1;13164
Christopher Schwarzwälder;Flowers Are Green - Original Mix;1;13165
Rival Consoles;Unfolding;4;4157
Noya Rao;Azimuth;1;13166
Noya Rao;Moments;1;13167
Noya Rao;Golden Claw;1;13168
Noya Rao;Midas;1;13169
Noya Rao;Dreaming, Pt. 1;1;13170
Cotton Jones;Up A Tree (Went This Heart I Have);7;1975
Cotton Jones;Gotta Cheer Up;4;4158
Cotton Jones;Some Strange Rain;3;5668
Cotton Jones;Gone The Bells;3;5669
Cotton Jones;Photo Summerlude;2;8143
Cotton Jones;By Morning Light;2;8144
Cotton Jones;Cotton & Velvet;1;13171
Cotton Jones;Little Ashtray In The Sun;1;13172
Cotton Jones;I Am The Changer;1;13173
Polo & Pan;Canopée;2;8145
Polo & Pan;Bakara;1;13174
Quantum Collage;Kamel im Windkanal;1;13175
Shigeto;Detroit Part II;3;5670
Shigeto;Ice Breaker;2;8146
Shigeto;In Case You Forgot;2;8147
Maria Rita Stumpf;Cantico Brasileiro No 3 (Kamaiura) - Selvagem And Carrot Green Remix;4;4159
My Brightest Diamond;Before The Words;1;13176
My Brightest Diamond;This Is My Hand;1;13177
My Brightest Diamond;Lover Killer;1;13178
My Brightest Diamond;I Am Not The Bad Guy;1;13179
Dreems;Theme (You Are My) - Original Mix;8;1615
Josef Leimberg;Interstellar Universe;1;13180
Josef Leimberg;As I Think Of You;1;13181
Josef Leimberg;The Awakening;3;5671
Josef Leimberg;Celestial Visions;1;13182
Josef Leimberg;Astral Progressions;1;13183
Nils Frahm;The Whole Universe Wants To Be Touched;15;520
Nils Frahm;Sunson;18;326
Nils Frahm;A Place;11;978
Nils Frahm;My Friend The Forest;8;1616
Nils Frahm;Human Range;7;1976
Nils Frahm;Forever Changeless;6;2494
Nils Frahm;All Melody;12;816
Nils Frahm;#2;5;3189
Nils Frahm;Momentum;5;3190
Nils Frahm;Fundamental Values;4;4160
Nils Frahm;Kaleidoscope;3;5672
Nils Frahm;Harm Hymn;3;5673
Art Feynman;Eternity In Pictures;2;8148
Art Feynman;Slow Down;1;13184
Art Feynman;Can’t Stand It;2;8149
Art Feynman;Two Minor;1;13185
Art Feynman;Win Win;1;13186
Art Feynman;I Rain You Thunder;1;13187
Art Feynman;Party Line;1;13188
Art Feynman;Small House Blues;1;13189
bastien keb;Intro;1;13190
Jimmy Whoo;Wildcats;1;13191
DJ Koze;Illumination;8;1617
LAAKE;Introspective;4;4161
Sly5thAve;Get Free;17;379
Ahmad Jamal;Sometimes I Feel Like A Motherless Child;2;8150
Penya;Why So Angry;5;3191
Skinny Pelembe;I'll Be On Your Mind;18;327
Palta;Tabt Optagelse;1;13192
James Blake;If the Car Beside You Moves Ahead;18;328
Jitwam;i ain't scared of no devil;3;5674
Lost Midas;Undefined;1;13193
Sly5thAve;California Love - Edit;2;8151
Pedestrian;hyperpnea;3;5675
Unknown Mortal Orchestra;Not in Love We’re Just High;1;13194
Sly5thAve;Bitch Don’t Kill My Vibe;1;13195
George Fitzgerald;Outgrown;6;2495
Snide Rhythms;Ginger Baker In Africa - Auntie Flo Remix;1;13196
andrés oddone;Happiness Is a Side Effect - El Buho Remix;9;1354
andrés oddone;Aura (Chancha Vía Circuito Remix);1;13197
BeGun;Salia Sahi;1;13198
BeGun;Dharavi;1;13199
Skinny Pelembe;Mindset Is FEAR;3;5676
Skinny Pelembe;Seven Year Curse;4;4162
Skinny Pelembe;Listen to the Stars;2;8152
Skinny Pelembe;Should You Go;2;8153
Skinny Pelembe;Day At the Races;2;8154
Skinny Pelembe;Baby Laxmi;2;8155
Skinny Pelembe;Spit/Swallow;25;124
Jonwayne;TED Talk;8;1618
Jonwayne;LIVE From The Fuck You;1;13200
Jonwayne;Human Condition;1;13201
Jonwayne;Out of sight;1;13202
Jonwayne;The Single;1;13203
Jonwayne;Paper;1;13204
Jonwayne;City Lights;1;13205
Jonwayne;Rainbow;1;13206
Jonwayne;Afraid of Us;4;4163
Jonwayne;Blue Green;1;13207
Jonwayne;Hills;1;13208
Jonwayne;These Words Are Everything;2;8156
Emma-Jean Thackray's WALRUS;Baro Bop;1;13209
Emma-Jean Thackray's WALRUS;Interlude #1;1;13210
Penya;Search It Out - Reboot;2;8157
Penya;Iyesa;3;5677
Penya;Karachi - What Could Have Been;3;5678
Penya;Cham Bomb;4;4164
Penya;Beat Your Demon;2;8158
Penya;Tribes;4;4165
Penya;Rootless, Pt. 2;2;8159
Sly5thAve;Shiznit;2;8160
Lone;Mind's Eye Melody;1;13211
Casino Versus Japan;Go Hawaii - Mixed;1;13212
Jono Ma;Springfield;2;8161
Colleen;Holding Horses;1;13213
Colleen;i'm kin;1;13214
Colleen;This Hammer Breaks;1;13215
Colleen;Salina Stars;1;13216
Buttering Trio;Love In Music;15;521
Buttering Trio;Refugee Song;9;1355
Buttering Trio;Star Shroom;7;1977
Buttering Trio;Unexperienced;10;1136
Buttering Trio;Ana Bhebak;8;1619
Buttering Trio;Wait;5;3192
Buttering Trio;Dig Deep;2;8162
Buttering Trio;From The Tree;2;8163
Buttering Trio;Dreaming of India (feat. Albalak);8;1620
Buttering Trio;I'll Be Fine;2;8164
Buttering Trio;The Runner;2;8165
Grandbrothers;1202;1;13217
Buttering Trio;Cacti Juice;1;13218
M.RUX;In the Hold;5;3193
M.RUX;Someone Else;6;2496
Jaja;Bajoo;5;3194
Jaja;Chan Chara;6;2497
DJ Koze;Seeing Aliens - Extended Breakthrough Listen;4;4166
DJ Koze;Nein König Nein;4;4167
Irreversible Entanglements;Chicago to Texas;1;13219
Tim Engelhardt;Moments Of Truth;1;13220
Tim Engelhardt;Solitude;1;13221
Tim Engelhardt;The Myths of You;1;13222
Shelter;Senhor Zalla;1;13223
Lords of the Underground;Chief Rocka;1;13224
Mr Day;Get Your Point Over - Patchworks remix;4;4168
Ambala;Bambari;2;8166
Obo Addy;"Wawshishijay (""Our Beginning"")";2;8167
Braxton Cook;Mathis' Tune (Interlude);4;4169
Hidden Orchestra;East London Street;4;4170
Peter Broderick;And It’s Alright (Nils Frahm Remix);1;13225
Idris Muhammad;Camby Bolongo;4;4171
Kokoroko;Abusey Junction;26;108
Dimlite;Byrdshot and Bye;1;13226
KOKOKO!;Likolo;3;5679
Deerhoof;Con Sordino;1;13227
Kara-Lis Coverdale;TOUCH ME & DIE;8;1621
GoGo Penguin;Raven;3;5680
Lapti;First date;1;13228
The Survivals;My Brother;1;13229
Henry Wu;Boards And Skins;2;8168
Sly5thAve;The Edge - Swarvy Remix;2;8169
LAAKE;FAAKE;1;13230
LAAKE;Come;1;13231
LAAKE;Tenderness;1;13232
LAAKE;Melancholia;1;13233
LAAKE;Over;1;13234
LAAKE;Implode;1;13235
El Búho;Coro del Amanecer;2;8170
El Búho;Corazon de Rubi;2;8171
El Búho;Tlacotlan;1;13236
El Búho;Juku;1;13237
El Búho;Chucum;2;8172
El Búho;Complete;1;13238
El Búho;Xica Xica;1;13239
El Búho;Brigantes;1;13240
El Búho;Papan;2;8173
Project Pablo;Royal Plus;1;13241
Chaos in the CBD;Invisible Spectrum;12;817
Pete Josef;The Travelling Song - Kyoto Jazz Sextet Remix;1;13242
Suzanne Kraft;Two Chord Wake;2;8174
BeGun;Dharavi - El Búho Remix;3;5681
BeGun;Salia Sahi - Klik & Frik Remix;1;13243
Portico Quartet;Endless;4;4172
Portico Quartet;Objects To Place In A Tomb;2;8175
Portico Quartet;Rushing;2;8176
Portico Quartet;Art In The Age Of Automation;1;13244
Portico Quartet;S/2000S5;1;13245
Portico Quartet;A Luminous Beam;1;13246
Portico Quartet;Beyond Dialogue;1;13247
Portico Quartet;RGB;1;13248
PREQUEL;Saints;1;13249
PREQUEL;Nothing Better;2;8177
PREQUEL;You Shall Know The Truth;2;8178
PREQUEL;Walken;1;13250
Gizmo Varillas;Paraiso;3;5682
Gizmo Varillas;Gotta Getaway;1;13251
Gizmo Varillas;Hold On;1;13252
Gizmo Varillas;Outta My Mind;1;13253
Gizmo Varillas;Give a Little Love;1;13254
Gizmo Varillas;El Dorado;2;8179
Gizmo Varillas;Losing You;1;13255
Hidden Orchestra;First Light;1;13256
Hidden Orchestra;Western Isles;1;13257
Hidden Orchestra;Still;1;13258
Hidden Orchestra;The Lizard;1;13259
Hidden Orchestra;Long Orchard;1;13260
Hidden Orchestra;Alyth;1;13261
Hidden Orchestra;Wingbeats;1;13262
Hidden Orchestra;Serpentine;1;13263
Hidden Orchestra;Stone;1;13264
Leifur James;Time;9;1356
Leifur James;Red Sea;1;13265
Coss;Rose Mallow;1;13266
The Lot Radio;Nicola Cruz @ The Lot Radio (Jan 26, 2018);1;13267
U.S. Girls;Poem;9;1357
U.S. Girls;Time;10;1137
Pedestrian;Deep In Daylight - Original Mix;1;13268
Pedestrian;Torn Blue - Original Mix;1;13269
Pedestrian;JNT - Original Mix;3;5683
Dengue Dengue Dengue;Flootz;2;8180
Cero39;Mucura;3;5684
Toro y Moi;Mirage;1;13270
Toro y Moi;No Show;1;13271
Toro y Moi;Mona Lisa;1;13272
Toro y Moi;Pavement;1;13273
Toro y Moi;Don't Try;1;13274
Toro y Moi;Embarcadero;1;13275
Kelly Lee Owens;S.O;7;1978
Kelly Lee Owens;Arthur;5;3195
Kelly Lee Owens;Anxi.;8;1622
Kelly Lee Owens;Lucid;2;8181
Kelly Lee Owens;Evolution;18;329
Kelly Lee Owens;Bird;6;2498
Kelly Lee Owens;Throwing Lines;2;8182
Kelly Lee Owens;CBM;3;5685
